Emp ID,Employee,Spy,Department,"Hiring Date, Salary & Bonus",Bonus,Current Status,City Emp ID,Extra columns,"mail.id, city, pin no & land no, Employment type, marital status, age, designation, gender "
EMP-923-B,nicole  ,Ex  ,finance,18-12-2020  12000       ,N/A,Inactive    ,Tokyo     EMP-365-A ,###,nicole@gmail.com           tokyo       TOKYO     523387  WID-814   Contract      Married   48   Executive           Female
EMP-961-B,BOBBY   ,Ex  ,finance,04-10-2012  7000    300 ,1000$,On Leave    ,Delhi     EMP-795-B ,RemoveMe,bobby@gmail.com            delhi       NY        502740  WID-431   Part-Time     Single    45   Executive           Male
EMP-880-A,JAMES   ,Sp  ,LOGISTICS,20-06-2015  7000    500 ,,On Leave    ,Delhi     EMP-552-B ,###,james@gmail.com            delhi       DELHI     832667  WID-721   On Home       Single    25   Specialist          Male
EMP-431-C,CHRISTINA,An  ,finance,23-10-2016  7000        ,500,On Leave    ,Mumbai    EMP-602-B ,RemoveMe,christina@gmail.com        mumbai      PARIS     555148  WID-795   Contract      Single    27   Analyst             Female
EMP-839-B,Dan     ,Ma  ,finance,24-01-2011  10000   300 ,300,On Leave    ,Delhi     EMP-105-B ,RemoveMe,dan@gmail.com              delhi       MAH       865436  WID-892   Intern        Single    43   Manager             Male
EMP-452-C,DAVID   ,De  ,it,04-10-2022  10000   500 ,Two Hundred,Inactive    ,Paris     EMP-733-C ,Unnecessary,david@gmail.com            paris       PARIS     494388  WID-973   Part-Time     Single    42   Developer           Male
EMP-613-B,KYLE    ,Sp  ,it,20-12-2017  7000    300 ,1000$,On Leave    ,Delhi     EMP-336-A ,,kyle@gmail.com             delhi       NY        403978  WID-715   Hybrid        Married   48   Specialist          Male
EMP-557-C,Nancy   ,Ma  ,LOGISTICS,05-01-2016  10000       ,1000$,On Leave    ,Paris     EMP-647-C ,RemoveMe,nancy@gmail.com            paris       DELHI     672461  WID-347   Hybrid        Married   23   Manager             Female
EMP-120-C,brandy  ,Ma  ,finance,28-10-2015  7000        ,N/A,Terminated  ,New York  EMP-305-B ,###,brandy@gmail.com           new york    PARIS     869521  WID-883   Full-Time     Single    48   Manager             Female
EMP-723-A,MASON   ,Ma  ,it,11-05-2023  12000   500 ,1000$,Inactive    ,Tokyo     EMP-454-A ,,mason@gmail.com            tokyo       DELHI     383648  WID-526   Hybrid        Single    26   Manager             Male
EMP-750-B,ANDREW  ,An  ,SALES,21-11-2023  7000    300 ,500,On Leave    ,Paris     EMP-589-B ,RemoveMe,andrew@gmail.com           paris       NY        919800  WID-900   Part-Time     Single    46   Analyst             Male
EMP-775-B,Vanessa ,An  ,LOGISTICS,11-06-2021  12000   500 ,1000$,Terminated  ,Delhi     EMP-884-B ,RemoveMe,vanessa@gmail.com          delhi       NY        244462  WID-812   Part-Time     Married   39   Analyst             Female
EMP-316-C,ROBIN   ,Sp  ,finance,10-03-2023  12000   300 ,N/A,Terminated  ,Mumbai    EMP-547-A ,,robin@gmail.com            mumbai      PARIS     533130  WID-343   Part-Time     Single    29   Specialist          Female
EMP-894-A,Alexander,Ma  ,sales,29-10-2024  10000       ,300,On Leave    ,Delhi     EMP-549-A ,,alexander@gmail.com        delhi       MAH       356108  WID-389   Full-Time     Married   42   Manager             Male
EMP-103-A,Nicholas,De  ,it,01-04-2016  12000       ,,Inactive    ,Delhi     EMP-178-B ,,nicholas@gmail.com         delhi       DELHI     474297  WID-656   Part-Time     Married   48   Developer           Male
EMP-907-A,Dana    ,Sp  ,hr,06-08-2019  7000    500 ,500,Inactive    ,Paris     EMP-639-B ,Unnecessary,dana@gmail.com             paris       MAH       530790  WID-426   On Home       Single    50   Specialist          Female
EMP-704-C,AMY     ,Ex  ,sales,25-09-2021  12000   300 ,Two Hundred,Inactive    ,Mumbai    EMP-859-C ,,amy@gmail.com              mumbai      PARIS     346525  WID-315   Full-Time     Married   23   Executive           Female
EMP-681-A,VIRGINIA,De  ,SALES,21-01-2024  10000       ,500,On Leave    ,Paris     EMP-702-B ,RemoveMe,virginia@gmail.com         paris       PARIS     619419  WID-407   Full-Time     Single    34   Developer           Female
EMP-487-C,melissa ,Ma  ,finance,29-08-2022  12000   500 ,Two Hundred,On Leave    ,Mumbai    EMP-288-C ,Unnecessary,melissa@gmail.com          mumbai      NY        667855  WID-541   Hybrid        Single    23   Manager             Female
EMP-511-A,Daniel  ,Sp  ,it,07-04-2025  10000       ,500,Inactive    ,Mumbai    EMP-449-C ,,daniel@gmail.com           mumbai      DELHI     888949  WID-949   Hybrid        Married   45   Specialist          Male
EMP-349-B,James   ,Sp  ,SALES,22-11-2015  7000    500 ,Two Hundred,Inactive    ,New York  EMP-686-C ,,james@gmail.com            new york    NY        881853  WID-681   Hybrid        Married   36   Specialist          Male
EMP-734-C,CLIFFORD,Sp  ,LOGISTICS,18-02-2021  12000   500 ,,On Leave    ,Mumbai    EMP-402-B ,,clifford@gmail.com         mumbai      TOKYO     381802  WID-684   Intern        Single    33   Specialist          Male
EMP-121-B,AARON   ,An  ,finance,21-03-2025  10000   300 ,N/A,Inactive    ,Paris     EMP-967-A ,###,aaron@gmail.com            paris       PARIS     138801  WID-554   Intern        Single    36   Analyst             Male
EMP-496-B,Katherine,Ex  ,finance,10-09-2013  7000    500 ,300,Terminated  ,Delhi     EMP-181-B ,Unnecessary,katherine@gmail.com        delhi       TOKYO     370539  WID-724   Hybrid        Married   27   Executive           Female
EMP-738-C,amy     ,Ex  ,sales,29-10-2012  7000        ,,Inactive    ,Mumbai    EMP-992-C ,Unnecessary,amy@gmail.com              mumbai      MAH       293205  WID-771   Full-Time     Single    23   Executive           Female
EMP-679-B,TERESA  ,Ex  ,it,22-07-2012  12000   300 ,300,On Leave    ,Paris     EMP-116-C ,Unnecessary,teresa@gmail.com           paris       PARIS     214466  WID-965   Contract      Single    33   Executive           Female
EMP-887-C,ANNA    ,Ma  ,LOGISTICS,02-07-2020  7000        ,,On Leave    ,Mumbai    EMP-684-B ,###,anna@gmail.com             mumbai      PARIS     396835  WID-949   On Home       Married   35   Manager             Female
EMP-556-C,joshua  ,Sp  ,hr,13-12-2023  10000   300 ,500,Terminated  ,New York  EMP-581-B ,###,joshua@gmail.com           new york    PARIS     257352  WID-736   Full-Time     Single    31   Specialist          Male
EMP-363-A,Timothy ,Sp  ,hr,10-06-2014  12000       ,N/A,Inactive    ,Tokyo     EMP-829-B ,,timothy@gmail.com          tokyo       TOKYO     499601  WID-320   Intern        Single    26   Specialist          Male
EMP-282-C,JORDAN  ,An  ,it,02-09-2017  12000   500 ,500,Inactive    ,Tokyo     EMP-651-C ,Unnecessary,jordan@gmail.com           tokyo       NY        649923  WID-224   Hybrid        Single    43   Analyst             Male
EMP-594-A,molly   ,An  ,SALES,20-09-2015  12000   300 ,N/A,Terminated  ,Mumbai    EMP-348-B ,RemoveMe,molly@gmail.com            mumbai      PARIS     352755  WID-336   Intern        Married   44   Analyst             Female
EMP-935-C,carly   ,Sp  ,it,12-10-2013  10000   500 ,,Inactive    ,Tokyo     EMP-470-C ,,carly@gmail.com            tokyo       DELHI     696998  WID-595   Hybrid        Single    29   Specialist          Female
EMP-345-C,david   ,Ex  ,sales,03-06-2013  10000       ,N/A,Inactive    ,Paris     EMP-449-B ,###,david@gmail.com            paris       PARIS     703992  WID-220   Full-Time     Married   26   Executive           Male
EMP-482-A,LARRY   ,Ma  ,hr,30-07-2015  7000    300 ,500,On Leave    ,Delhi     EMP-369-C ,,larry@gmail.com            delhi       NY        552376  WID-828   Intern        Single    48   Manager             Male
EMP-594-C,DUSTIN  ,An  ,SALES,17-01-2018  12000   500 ,1000$,Inactive    ,New York  EMP-462-A ,Unnecessary,dustin@gmail.com           new york    NY        453169  WID-511   On Home       Single    25   Analyst             Male
EMP-506-B,Walter  ,Ma  ,finance,05-11-2013  10000   500 ,1000$,Inactive    ,Paris     EMP-518-C ,Unnecessary,walter@gmail.com           paris       NY        241144  WID-560   On Home       Married   44   Manager             Male
EMP-144-C,DILLON  ,An  ,finance,17-09-2023  7000    300 ,Two Hundred,Inactive    ,Paris     EMP-488-B ,,dillon@gmail.com           paris       NY        617255  WID-549   Part-Time     Married   31   Analyst             Male
EMP-829-A,John    ,An  ,SALES,15-07-2016  7000    300 ,500,Inactive    ,Tokyo     EMP-392-B ,Unnecessary,john@gmail.com             tokyo       NY        870310  WID-493   Contract      Single    48   Analyst             Male
EMP-264-B,Jennifer,An  ,hr,10-04-2013  10000   500 ,300,Inactive    ,Paris     EMP-455-B ,###,jennifer@gmail.com         paris       DELHI     334496  WID-269   Full-Time     Married   36   Analyst             Female
EMP-329-A,julie   ,Ma  ,finance,11-08-2017  7000        ,300,On Leave    ,Paris     EMP-198-A ,Unnecessary,julie@gmail.com            paris       MAH       141675  WID-665   Hybrid        Single    50   Manager             Female
EMP-494-A,jonathan,Sp  ,hr,03-12-2022  10000   500 ,500,On Leave    ,Paris     EMP-536-C ,Unnecessary,jonathan@gmail.com         paris       TOKYO     851043  WID-555   Hybrid        Single    25   Specialist          Male
EMP-351-B,jessica ,Sp  ,LOGISTICS,26-01-2013  12000   300 ,,On Leave    ,Mumbai    EMP-849-C ,,jessica@gmail.com          mumbai      PARIS     177961  WID-219   Contract      Single    45   Specialist          Female
EMP-242-A,Robert  ,Sp  ,it,03-12-2023  7000        ,N/A,Terminated  ,Tokyo     EMP-823-C ,,robert@gmail.com           tokyo       DELHI     646619  WID-422   Full-Time     Married   47   Specialist          Male
EMP-988-A,John    ,Ma  ,hr,20-05-2023  10000   300 ,300,On Leave    ,Mumbai    EMP-485-A ,,john@gmail.com             mumbai      TOKYO     953403  WID-789   Part-Time     Married   37   Manager             Male
EMP-579-C,jane    ,Ex  ,sales,12-12-2024  10000   300 ,1000$,Inactive    ,Delhi     EMP-977-C ,RemoveMe,jane@gmail.com             delhi       TOKYO     684829  WID-867   Part-Time     Single    37   Executive           Female
EMP-904-C,BRADLEY ,Sp  ,LOGISTICS,12-07-2015  10000   300 ,300,Inactive    ,New York  EMP-340-C ,###,bradley@gmail.com          new york    TOKYO     406305  WID-457   Intern        Single    50   Specialist          Male
EMP-638-B,Linda   ,An  ,finance,07-01-2013  10000   500 ,Two Hundred,Terminated  ,Tokyo     EMP-402-A ,,linda@gmail.com            tokyo       NY        359413  WID-324   Full-Time     Married   32   Analyst             Female
EMP-870-B,JUAN    ,Sp  ,SALES,29-05-2013  10000       ,N/A,Inactive    ,Delhi     EMP-813-B ,Unnecessary,juan@gmail.com             delhi       PARIS     820604  WID-821   Part-Time     Married   35   Specialist          Male
EMP-834-B,david   ,An  ,sales,23-04-2018  10000   500 ,N/A,On Leave    ,New York  EMP-675-B ,RemoveMe,david@gmail.com            new york    DELHI     563419  WID-367   On Home       Married   47   Analyst             Male
EMP-900-C,elizabeth,Sp  ,it,28-03-2015  7000        ,N/A,Terminated  ,Mumbai    EMP-751-A ,###,elizabeth@gmail.com        mumbai      PARIS     274624  WID-415   Intern        Married   50   Specialist          Female
EMP-187-B,James   ,Sp  ,sales,23-09-2020  12000   500 ,300,On Leave    ,Tokyo     EMP-120-C ,Unnecessary,james@gmail.com            tokyo       TOKYO     904092  WID-121   Intern        Single    33   Specialist          Male
EMP-820-C,John    ,Sp  ,LOGISTICS,02-02-2016  10000   300 ,1000$,Inactive    ,Mumbai    EMP-958-C ,###,john@gmail.com             mumbai      MAH       447605  WID-505   On Home       Single    33   Specialist          Male
EMP-554-A,Chad    ,Ma  ,SALES,27-05-2018  7000    500 ,Two Hundred,On Leave    ,Delhi     EMP-204-C ,,chad@gmail.com             delhi       TOKYO     125422  WID-507   Intern        Single    31   Manager             Male
EMP-718-B,CRAIG   ,Ma  ,hr,24-08-2013  7000    300 ,300,Terminated  ,New York  EMP-937-C ,RemoveMe,craig@gmail.com            new york    MAH       857190  WID-997   Contract      Single    38   Manager             Male
EMP-601-A,AARON   ,An  ,SALES,29-01-2025  10000   500 ,N/A,On Leave    ,Delhi     EMP-911-B ,RemoveMe,aaron@gmail.com            delhi       TOKYO     879598  WID-298   Hybrid        Married   38   Analyst             Male
EMP-280-B,kathryn ,Ex  ,LOGISTICS,05-10-2022  7000    500 ,Two Hundred,On Leave    ,Paris     EMP-582-B ,,kathryn@gmail.com          paris       TOKYO     392089  WID-398   Intern        Single    39   Executive           Female
EMP-573-C,Jacqueline,An  ,hr,20-04-2017  10000   300 ,Two Hundred,On Leave    ,New York  EMP-608-C ,Unnecessary,jacqueline@gmail.com       new york    DELHI     126101  WID-503   Contract      Single    40   Analyst             Female
EMP-585-A,timothy ,De  ,SALES,18-02-2017  7000        ,Two Hundred,Inactive    ,Delhi     EMP-440-A ,RemoveMe,timothy@gmail.com          delhi       PARIS     317770  WID-929   On Home       Single    27   Developer           Male
EMP-876-C,WESLEY  ,De  ,finance,07-10-2016  10000   500 ,,Inactive    ,New York  EMP-840-C ,###,wesley@gmail.com           new york    TOKYO     426584  WID-878   Part-Time     Single    35   Developer           Male
EMP-669-B,JAMES   ,An  ,SALES,28-08-2015  12000   500 ,N/A,Inactive    ,New York  EMP-374-C ,RemoveMe,james@gmail.com            new york    DELHI     783680  WID-314   Hybrid        Married   32   Analyst             Male
EMP-970-C,margaret,An  ,it,05-06-2020  7000    300 ,1000$,Inactive    ,Delhi     EMP-535-C ,Unnecessary,margaret@gmail.com         delhi       DELHI     884490  WID-179   Intern        Single    38   Analyst             Female
EMP-655-A,BENJAMIN,Ma  ,SALES,30-01-2011  7000        ,Two Hundred,On Leave    ,New York  EMP-274-C ,,benjamin@gmail.com         new york    NY        673660  WID-922   Hybrid        Married   49   Manager             Male
EMP-553-B,WENDY   ,Ma  ,it,15-07-2012  7000    500 ,Two Hundred,Terminated  ,Paris     EMP-635-B ,Unnecessary,wendy@gmail.com            paris       PARIS     818299  WID-729   Contract      Single    38   Manager             Female
EMP-748-A,Janice  ,Sp  ,finance,16-01-2020  12000       ,N/A,Terminated  ,New York  EMP-438-C ,RemoveMe,janice@gmail.com           new york    MAH       596889  WID-837   Part-Time     Single    48   Specialist          Female
EMP-309-C,carla   ,Ex  ,hr,26-05-2023  12000   500 ,Two Hundred,Terminated  ,Delhi     EMP-419-C ,,carla@gmail.com            delhi       DELHI     199315  WID-292   Part-Time     Single    32   Executive           Female
EMP-590-B,Jessica ,Ma  ,it,06-10-2014  10000   500 ,Two Hundred,Terminated  ,Tokyo     EMP-453-C ,,jessica@gmail.com          tokyo       MAH       864750  WID-114   Part-Time     Married   40   Manager             Female
EMP-431-C,Patricia,Sp  ,sales,17-03-2023  10000   300 ,,Inactive    ,Tokyo     EMP-179-C ,,patricia@gmail.com         tokyo       MAH       691040  WID-256   Full-Time     Single    30   Specialist          Female
EMP-352-A,Nathan  ,De  ,finance,02-02-2019  7000    300 ,Two Hundred,Terminated  ,Tokyo     EMP-719-B ,,nathan@gmail.com           tokyo       TOKYO     921417  WID-926   On Home       Married   22   Developer           Male
EMP-249-C,MICHAEL ,Ex  ,LOGISTICS,22-03-2021  7000        ,N/A,On Leave    ,Mumbai    EMP-995-A ,RemoveMe,michael@gmail.com          mumbai      NY        561047  WID-431   Full-Time     Single    47   Executive           Male
EMP-715-B,melissa ,An  ,LOGISTICS,08-04-2022  10000   500 ,,On Leave    ,Mumbai    EMP-502-B ,###,melissa@gmail.com          mumbai      TOKYO     647341  WID-892   Intern        Married   48   Analyst             Female
EMP-169-B,Anthony ,Ex  ,LOGISTICS,22-12-2016  12000   500 ,,Inactive    ,Paris     EMP-960-B ,RemoveMe,anthony@gmail.com          paris       MAH       226080  WID-673   Intern        Married   43   Executive           Male
EMP-245-B,TAMMY   ,Sp  ,LOGISTICS,08-12-2022  10000   300 ,300,Terminated  ,Paris     EMP-318-C ,,tammy@gmail.com            paris       NY        111190  WID-673   Part-Time     Married   45   Specialist          Female
EMP-682-C,danielle,Ex  ,hr,19-07-2018  12000   500 ,N/A,On Leave    ,Tokyo     EMP-436-A ,Unnecessary,danielle@gmail.com         tokyo       PARIS     778657  WID-477   Contract      Single    23   Executive           Female
EMP-226-B,amanda  ,Sp  ,LOGISTICS,02-04-2024  12000       ,Two Hundred,Terminated  ,Delhi     EMP-943-A ,Unnecessary,amanda@gmail.com           delhi       TOKYO     614117  WID-983   On Home       Married   36   Specialist          Female
EMP-436-C,Heather ,Ma  ,SALES,10-06-2022  7000    300 ,N/A,On Leave    ,Paris     EMP-727-C ,,heather@gmail.com          paris       DELHI     974579  WID-256   On Home       Single    35   Manager             Female
EMP-693-A,michael ,Sp  ,SALES,14-04-2022  10000       ,,On Leave    ,Tokyo     EMP-973-A ,RemoveMe,michael@gmail.com          tokyo       PARIS     431853  WID-770   Hybrid        Single    49   Specialist          Male
EMP-741-B,Mary    ,De  ,finance,07-12-2012  7000    300 ,1000$,Terminated  ,Delhi     EMP-297-C ,RemoveMe,mary@gmail.com             delhi       DELHI     146670  WID-251   On Home       Married   36   Developer           Female
EMP-411-B,Dean    ,De  ,hr,03-03-2018  10000       ,N/A,On Leave    ,Delhi     EMP-380-C ,,dean@gmail.com             delhi       PARIS     830115  WID-459   Full-Time     Married   48   Developer           Male
EMP-118-B,TERRY   ,Ma  ,SALES,04-12-2012  7000    300 ,,On Leave    ,Delhi     EMP-425-C ,RemoveMe,terry@gmail.com            delhi       MAH       492722  WID-741   Full-Time     Single    42   Manager             Female
EMP-211-C,David   ,Sp  ,it,30-08-2020  7000    500 ,N/A,Inactive    ,Mumbai    EMP-417-A ,,david@gmail.com            mumbai      MAH       692487  WID-488   On Home       Married   26   Specialist          Male
EMP-610-C,LAURA   ,Sp  ,hr,10-09-2021  10000   500 ,1000$,On Leave    ,Mumbai    EMP-365-C ,RemoveMe,laura@gmail.com            mumbai      PARIS     481276  WID-550   Contract      Single    40   Specialist          Female
EMP-368-A,Sarah   ,Ma  ,finance,18-08-2010  10000       ,1000$,Inactive    ,New York  EMP-650-C ,,sarah@gmail.com            new york    MAH       815147  WID-315   On Home       Married   47   Manager             Female
EMP-554-A,bruce   ,An  ,finance,28-12-2011  10000   300 ,500,Inactive    ,Paris     EMP-625-A ,###,bruce@gmail.com            paris       DELHI     642145  WID-364   Part-Time     Married   25   Analyst             Male
EMP-302-A,MARIA   ,An  ,SALES,16-12-2016  12000   300 ,Two Hundred,Terminated  ,Paris     EMP-486-C ,###,maria@gmail.com            paris       TOKYO     476317  WID-702   Full-Time     Married   42   Analyst             Female
EMP-549-A,james   ,Sp  ,LOGISTICS,23-05-2020  7000    500 ,1000$,Terminated  ,Delhi     EMP-466-B ,###,james@gmail.com            delhi       MAH       746564  WID-266   Intern        Single    47   Specialist          Male
EMP-729-B,Valerie ,De  ,hr,15-10-2011  10000   300 ,Two Hundred,On Leave    ,Paris     EMP-715-B ,Unnecessary,valerie@gmail.com          paris       PARIS     345684  WID-594   On Home       Married   50   Developer           Female
EMP-335-B,kelly   ,An  ,LOGISTICS,19-08-2013  12000   300 ,Two Hundred,Terminated  ,Tokyo     EMP-267-C ,###,kelly@gmail.com            tokyo       DELHI     795632  WID-270   Contract      Single    26   Analyst             Female
EMP-624-A,SHAWN   ,Ex  ,finance,29-03-2013  7000    300 ,300,Terminated  ,New York  EMP-269-B ,RemoveMe,shawn@gmail.com            new york    NY        422465  WID-100   On Home       Single    31   Executive           Male
EMP-596-A,RONALD  ,De  ,sales,21-09-2014  10000   300 ,300,On Leave    ,Mumbai    EMP-801-C ,,ronald@gmail.com           mumbai      MAH       204766  WID-965   Contract      Single    33   Developer           Male
EMP-207-C,Melissa ,De  ,sales,08-12-2018  7000    500 ,N/A,Inactive    ,New York  EMP-823-A ,Unnecessary,melissa@gmail.com          new york    NY        240012  WID-881   Full-Time     Married   46   Developer           Female
EMP-505-B,tracy   ,An  ,LOGISTICS,15-08-2021  7000        ,1000$,Terminated  ,Tokyo     EMP-455-B ,,tracy@gmail.com            tokyo       DELHI     905142  WID-785   On Home       Single    27   Analyst             Female
EMP-965-C,stacie  ,An  ,sales,22-05-2020  7000    500 ,1000$,On Leave    ,Tokyo     EMP-869-B ,Unnecessary,stacie@gmail.com           tokyo       TOKYO     146397  WID-179   On Home       Single    28   Analyst             Female
EMP-277-A,elizabeth,Sp  ,SALES,03-06-2017  7000    500 ,1000$,Terminated  ,Mumbai    EMP-254-B ,###,elizabeth@gmail.com        mumbai      NY        288238  WID-418   Intern        Married   35   Specialist          Female
EMP-854-B,Nicole  ,Ma  ,finance,19-10-2022  7000    300 ,300,Terminated  ,Delhi     EMP-802-C ,,nicole@gmail.com           delhi       PARIS     234993  WID-203   On Home       Married   32   Manager             Female
EMP-912-A,SHEILA  ,De  ,finance,12-04-2012  12000   500 ,1000$,Terminated  ,Delhi     EMP-535-B ,Unnecessary,sheila@gmail.com           delhi       PARIS     490935  WID-859   On Home       Single    38   Developer           Female
EMP-155-C,Makayla ,Ma  ,finance,20-08-2023  7000    300 ,300,On Leave    ,New York  EMP-877-B ,###,makayla@gmail.com          new york    TOKYO     841935  WID-991   On Home       Single    32   Manager             Female
EMP-442-A,Robert  ,De  ,SALES,09-04-2024  10000   300 ,,Terminated  ,Delhi     EMP-388-A ,###,robert@gmail.com           delhi       NY        728441  WID-224   Intern        Married   50   Developer           Male
EMP-821-A,brenda  ,Sp  ,finance,27-02-2023  10000   500 ,1000$,On Leave    ,Tokyo     EMP-283-B ,RemoveMe,brenda@gmail.com           tokyo       PARIS     766876  WID-465   Intern        Single    31   Specialist          Female
EMP-732-B,daniel  ,An  ,it,24-02-2023  12000   300 ,,Inactive    ,New York  EMP-279-A ,,daniel@gmail.com           new york    MAH       617420  WID-647   Full-Time     Single    42   Analyst             Male
EMP-176-C,jennifer,An  ,SALES,30-08-2015  7000    300 ,Two Hundred,On Leave    ,Tokyo     EMP-569-A ,,jennifer@gmail.com         tokyo       TOKYO     858970  WID-178   Contract      Married   41   Analyst             Female
EMP-765-A,Abigail ,Sp  ,hr,14-04-2013  12000       ,Two Hundred,Inactive    ,Paris     EMP-510-A ,,abigail@gmail.com          paris       NY        183134  WID-288   On Home       Married   45   Specialist          Female
EMP-840-A,ROBERT  ,Sp  ,LOGISTICS,12-06-2010  12000   500 ,300,Terminated  ,Tokyo     EMP-652-A ,RemoveMe,robert@gmail.com           tokyo       TOKYO     897671  WID-810   Full-Time     Married   28   Specialist          Male
EMP-400-A,Anne    ,Sp  ,it,01-08-2023  7000    500 ,N/A,Inactive    ,Delhi     EMP-508-A ,###,anne@gmail.com             delhi       TOKYO     119628  WID-794   Contract      Married   28   Specialist          Female
EMP-109-B,michael ,De  ,finance,09-05-2019  7000    300 ,300,Inactive    ,Paris     EMP-326-A ,,michael@gmail.com          paris       DELHI     401813  WID-118   On Home       Married   41   Developer           Male
EMP-919-C,Jennifer,Sp  ,hr,29-04-2015  10000   500 ,,Inactive    ,New York  EMP-671-A ,RemoveMe,jennifer@gmail.com         new york    NY        584387  WID-451   Contract      Married   26   Specialist          Female
EMP-178-C,Nicholas,De  ,sales,28-04-2013  12000   500 ,1000$,Terminated  ,New York  EMP-776-C ,Unnecessary,nicholas@gmail.com         new york    DELHI     317633  WID-180   On Home       Married   24   Developer           Male
EMP-643-B,cassandra,De  ,hr,04-08-2013  12000   500 ,1000$,Inactive    ,New York  EMP-259-C ,RemoveMe,cassandra@gmail.com        new york    DELHI     902097  WID-698   Part-Time     Married   35   Developer           Female
